operation,duration_ms
encrypt,0.305
decrypt,0.224
encrypt,0.176
decrypt,0.218
auth_total,21.233
encrypt,0.203
decrypt,0.137
encrypt,0.197
decrypt,0.175
auth_total,9.595
encrypt,0.346
decrypt,0.242
encrypt,0.260
decrypt,0.177
encrypt,0.320
decrypt,0.480
encrypt,0.165
decrypt,0.224
auth_total,14.264
encrypt,0.294
decrypt,0.244
encrypt,0.403
decrypt,0.261
encrypt,0.356
decrypt,0.168
encrypt,0.214
decrypt,0.230
auth_total,14.426
encrypt,0.353
decrypt,0.207
encrypt,0.145
decrypt,0.253
auth_total,14.857
encrypt,0.353
decrypt,0.221
encrypt,0.307
decrypt,0.215
encrypt,0.350
decrypt,0.155
encrypt,0.144
decrypt,0.232
auth_total,14.550
encrypt,0.137
decrypt,0.105
encrypt,0.100
decrypt,0.151
auth_total,10.622
encrypt,0.279
decrypt,0.173
encrypt,0.175
decrypt,0.246
auth_total,14.184
encrypt,0.346
decrypt,0.240
encrypt,0.196
decrypt,0.161
encrypt,0.209
decrypt,0.136
encrypt,0.130
decrypt,0.210
auth_total,10.464
encrypt,0.347
decrypt,0.277
encrypt,0.251
decrypt,0.220
encrypt,0.484
decrypt,0.271
encrypt,0.168
decrypt,0.222
auth_total,22.636
encrypt,0.459
decrypt,0.268
encrypt,0.226
decrypt,0.213
encrypt,0.471
decrypt,0.263
encrypt,0.169
decrypt,0.219
auth_total,24.368
encrypt,0.261
decrypt,0.378
encrypt,0.186
decrypt,0.177
encrypt,0.429
decrypt,0.173
encrypt,0.199
decrypt,0.208
auth_total,14.569
encrypt,0.164
decrypt,0.333
encrypt,0.086
decrypt,0.138
auth_total,9.654
encrypt,0.483
decrypt,0.232
encrypt,0.159
decrypt,0.210
auth_total,21.678
encrypt,0.255
decrypt,0.144
encrypt,0.151
decrypt,0.182
auth_total,11.413
encrypt,0.199
decrypt,0.162
encrypt,0.222
decrypt,0.166
encrypt,0.359
decrypt,0.305
encrypt,0.193
decrypt,0.213
auth_total,24.044
encrypt,0.196
decrypt,0.134
encrypt,0.112
decrypt,0.185
auth_total,12.990
encrypt,0.327
decrypt,0.178
encrypt,0.203
decrypt,0.254
auth_total,14.951
encrypt,0.724
decrypt,0.782
encrypt,0.226
decrypt,0.249
encrypt,0.354
decrypt,0.256
encrypt,0.341
decrypt,0.276
encrypt,0.223
decrypt,0.206
encrypt,0.224
decrypt,0.384
auth_total,15.660
encrypt,0.132
decrypt,0.106
encrypt,0.101
decrypt,0.122
encrypt,0.348
decrypt,0.175
encrypt,0.188
decrypt,0.223
auth_total,15.457
encrypt,0.164
decrypt,0.101
encrypt,0.085
decrypt,0.145
auth_total,9.688
encrypt,0.326
decrypt,0.132
encrypt,0.133
decrypt,0.311
auth_total,14.834
encrypt,0.167
decrypt,0.215
encrypt,0.099
decrypt,0.290
auth_total,10.264
encrypt,0.284
decrypt,0.210
encrypt,0.222
decrypt,0.234
encrypt,0.245
decrypt,0.195
encrypt,0.237
decrypt,0.253
encrypt,0.411
decrypt,0.226
encrypt,0.195
decrypt,0.216
auth_total,21.234
encrypt,0.306
decrypt,0.170
encrypt,0.167
decrypt,0.242
auth_total,14.586
encrypt,0.225
decrypt,0.179
encrypt,0.202
