operation,duration_ms
encrypt,0.747
decrypt,3.197
encrypt,0.306
decrypt,2.668
auth_total,23.020
encrypt,0.648
decrypt,1.778
encrypt,0.267
decrypt,1.561
encrypt,0.722
decrypt,1.331
encrypt,0.231
decrypt,4.002
auth_total,18.504
encrypt,0.515
decrypt,1.828
encrypt,0.244
decrypt,4.419
auth_total,16.552
encrypt,0.489
decrypt,1.935
encrypt,0.245
decrypt,1.757
encrypt,0.724
decrypt,1.330
encrypt,0.206
decrypt,4.055
auth_total,17.686
encrypt,0.613
decrypt,1.714
encrypt,0.208
decrypt,1.672
encrypt,0.651
decrypt,1.356
encrypt,0.170
decrypt,4.198
auth_total,15.878
encrypt,0.829
decrypt,1.681
encrypt,0.227
decrypt,1.757
encrypt,0.736
decrypt,1.407
encrypt,0.174
decrypt,4.189
auth_total,17.369
encrypt,0.701
decrypt,1.559
encrypt,0.204
decrypt,1.733
encrypt,0.747
decrypt,1.266
encrypt,0.191
decrypt,4.185
auth_total,18.318
encrypt,0.443
decrypt,1.788
encrypt,0.251
decrypt,1.677
encrypt,0.666
decrypt,1.284
encrypt,0.163
decrypt,4.170
auth_total,17.040
encrypt,0.538
decrypt,1.272
encrypt,0.175
decrypt,1.349
encrypt,0.774
decrypt,1.356
encrypt,0.195
decrypt,4.328
auth_total,17.249
encrypt,0.423
decrypt,0.695
encrypt,0.107
decrypt,4.863
auth_total,13.352
encrypt,0.535
decrypt,2.259
encrypt,0.139
decrypt,0.924
encrypt,0.841
decrypt,4.290
encrypt,0.243
decrypt,3.748
auth_total,23.965
encrypt,0.559
decrypt,1.576
encrypt,0.222
decrypt,1.516
encrypt,0.845
decrypt,4.415
encrypt,0.251
decrypt,2.856
auth_total,28.045
encrypt,0.560
decrypt,1.930
encrypt,0.840
decrypt,1.419
encrypt,0.399
decrypt,0.812
encrypt,0.132
encrypt,0.689
decrypt,4.886
encrypt,0.209
decrypt,3.553
encrypt,0.757
decrypt,1.504
encrypt,0.224
decrypt,4.517
encrypt,0.792
decrypt,1.427
encrypt,0.517
decrypt,4.180
encrypt,0.670
decrypt,4.608
encrypt,0.243
decrypt,3.703
encrypt,0.621
decrypt,1.167
encrypt,0.264
decrypt,3.409
encrypt,0.917
decrypt,5.412
encrypt,0.286
decrypt,3.542
auth_total,30.150
encrypt,0.627
decrypt,1.698
encrypt,0.281
decrypt,1.429
encrypt,0.366
decrypt,0.954
encrypt,0.148
decrypt,2.298
auth_total,12.897
encrypt,0.494
decrypt,1.419
encrypt,0.204
decrypt,4.678
auth_total,17.076
encrypt,0.750
decrypt,1.545
encrypt,0.220
decrypt,4.092
auth_total,17.600
encrypt,0.771
decrypt,1.402
encrypt,0.240
decrypt,1.429
encrypt,0.287
decrypt,1.006
encrypt,0.146
decrypt,0.920
encrypt,0.713
decrypt,1.795
encrypt,0.256
decrypt,1.732
encrypt,0.590
decrypt,1.367
encrypt,0.177
decrypt,3.900
auth_total,17.017
encrypt,0.747
decrypt,1.534
encrypt,0.219
decrypt,4.146
auth_total,16.637
encrypt,0.839
decrypt,1.718
encrypt,0.229
decrypt,1.733
encrypt,0.813
decrypt,1.647
encrypt,0.207
decrypt,1.453
encrypt,0.422
decrypt,3.026
encrypt,0.209
decrypt,3.304
auth_total,22.018
encrypt,0.687
decrypt,1.690
encrypt,0.756
decrypt,1.471
encrypt,0.308
decrypt,0.667
encrypt,0.152
decrypt,2.088
auth_total,9.377
encrypt,0.669
decrypt,1.869
encrypt,0.214
decrypt,3.637
auth_total,17.487
encrypt,0.690
decrypt,1.187
encrypt,0.220
decrypt,3.926
auth_total,16.202
encrypt,0.530
decrypt,1.756
encrypt,0.244
decrypt,1.827
encrypt,0.873
decrypt,1.832
encrypt,0.250
decrypt,3.878
auth_total,18.994
encrypt,0.585
decrypt,1.380
encrypt,0.234
decrypt,4.258
auth_total,17.769
encrypt,0.547
decrypt,1.891
encrypt,0.262
decrypt,1.855
encrypt,0.598
decrypt,1.276
encrypt,0.176
decrypt,4.212
auth_total,18.006
encrypt,0.436
decrypt,1.066
encrypt,0.186
decrypt,1.861
encrypt,0.642
decrypt,1.422
encrypt,0.170
decrypt,4.606
auth_total,15.891
encrypt,0.556
decrypt,2.184
encrypt,0.165
decrypt,1.063
encrypt,0.647
decrypt,1.353
encrypt,0.171
decrypt,4.409
auth_total,17.232
encrypt,0.777
decrypt,1.136
encrypt,0.158
decrypt,4.322
auth_total,17.024
encrypt,0.563
decrypt,1.135
encrypt,0.157
decrypt,4.040
auth_total,15.458
encrypt,0.650
decrypt,1.707
encrypt,0.227
decrypt,1.768
encrypt,0.543
decrypt,1.195
encrypt,0.173
decrypt,4.200
auth_total,16.522
encrypt,0.583
decrypt,1.293
encrypt,0.174
decrypt,4.247
auth_total,17.386
encrypt,0.701
decrypt,1.253
encrypt,0.166
decrypt,4.179
auth_total,17.399
encrypt,0.642
decrypt,1.582
encrypt,0.193
decrypt,1.609
encrypt,0.639
decrypt,1.257
encrypt,0.172
decrypt,3.284
auth_total,16.100
encrypt,0.667
decrypt,1.279
encrypt,0.159
decrypt,4.187
auth_total,17.873
encrypt,0.806
decrypt,1.248
encrypt,0.157
decrypt,4.359
auth_total,18.102
encrypt,0.538
decrypt,2.203
encrypt,0.227
decrypt,1.483
encrypt,0.744
decrypt,1.257
encrypt,0.170
decrypt,4.387
auth_total,18.390
encrypt,0.436
decrypt,1.744
encrypt,0.237
decrypt,1.907
encrypt,0.638
decrypt,1.036
encrypt,0.112
decrypt,3.994
auth_total,17.865
encrypt,0.742
decrypt,1.418
encrypt,0.220
decrypt,1.938
encrypt,0.828
decrypt,1.249
encrypt,0.145
decrypt,4.313
auth_total,18.087
encrypt,0.773
decrypt,1.725
encrypt,0.190
decrypt,1.303
encrypt,0.593
decrypt,1.284
encrypt,0.157
decrypt,4.132
auth_total,16.092
encrypt,0.413
decrypt,1.439
encrypt,0.139
decrypt,4.552
auth_total,17.069
encrypt,0.721
decrypt,1.279
encrypt,0.149
decrypt,4.171
auth_total,17.915
encrypt,0.774
decrypt,1.688
encrypt,0.221
decrypt,1.812
encrypt,0.686
decrypt,1.210
encrypt,0.145
decrypt,3.958
auth_total,16.642
encrypt,0.705
decrypt,1.740
encrypt,0.188
decrypt,1.738
encrypt,1.064
decrypt,1.261
encrypt,0.134
decrypt,3.313
auth_total,16.395
encrypt,0.579
decrypt,1.349
encrypt,0.170
decrypt,1.980
encrypt,0.561
decrypt,1.062
encrypt,0.077
decrypt,3.364
auth_total,13.596
encrypt,0.793
decrypt,1.664
encrypt,0.184
decrypt,2.504
encrypt,0.583
decrypt,1.190
encrypt,0.120
decrypt,4.042
auth_total,16.289
encrypt,0.637
decrypt,1.287
encrypt,0.162
decrypt,4.480
auth_total,17.650
encrypt,0.821
decrypt,1.433
encrypt,0.162
decrypt,4.402
auth_total,18.110
encrypt,0.714
decrypt,1.533
encrypt,0.218
decrypt,1.693
encrypt,0.785
decrypt,1.211
encrypt,0.150
decrypt,3.193
auth_total,15.452
encrypt,0.725
decrypt,1.265
encrypt,0.134
decrypt,4.222
auth_total,17.996
encrypt,0.507
decrypt,0.726
encrypt,0.082
decrypt,2.738
auth_total,12.591
encrypt,0.979
decrypt,1.536
encrypt,0.194
decrypt,1.474
encrypt,0.584
decrypt,1.348
encrypt,0.129
decrypt,4.162
auth_total,17.031
encrypt,0.562
decrypt,1.386
encrypt,0.131
decrypt,4.425
auth_total,16.958
encrypt,0.507
decrypt,2.036
encrypt,0.117
decrypt,0.947
encrypt,0.287
decrypt,4.397
encrypt,0.186
decrypt,2.567
auth_total,23.692
encrypt,0.571
decrypt,1.713
encrypt,0.237
decrypt,1.343
encrypt,0.468
decrypt,1.116
encrypt,0.142
decrypt,2.772
auth_total,13.995
encrypt,0.509
decrypt,2.174
encrypt,0.200
decrypt,1.658
encrypt,0.437
decrypt,1.307
encrypt,0.175
decrypt,3.997
auth_total,16.291
encrypt,0.405
decrypt,1.456
encrypt,0.196
decrypt,1.521
encrypt,0.481
decrypt,4.819
encrypt,0.184
decrypt,2.822
auth_total,28.907
encrypt,0.417
decrypt,1.386
encrypt,0.188
decrypt,1.341
encrypt,0.496
decrypt,1.226
encrypt,0.148
decrypt,4.169
auth_total,17.925
